"institution"	"rating"	"valid_through"	"URL"	"latest_report"	"purchasing"	"dining"
"Lehigh University"	"Gold"	"April 11, 2024"	"https://reports.aashe.org/institutions/lehigh-university-pa/report/"	"https://reports.aashe.org/institutions/lehigh-university-pa/report/2021-02-26/"	"https://reports.aashe.org/institutions/lehigh-university-pa/report/2021-02-26/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/lehigh-university-pa/report/2021-02-26/OP/food-dining/OP-8/"
"Lewis & Clark College"	"Gold"	"March 6, 2023"	"https://reports.aashe.org/institutions/lewis-clark-college-or/report/"	"https://reports.aashe.org/institutions/lewis-clark-college-or/report/2020-03-06/"	"https://reports.aashe.org/institutions/lewis-clark-college-or/report/2020-03-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/lewis-clark-college-or/report/2020-03-06/OP/food-dining/OP-8/"
"Loyola Marymount University"	"Gold"	"May 16, 2024"	"https://reports.aashe.org/institutions/loyola-marymount-university-ca/report/"	"https://reports.aashe.org/institutions/loyola-marymount-university-ca/report/2021-03-05/"	"https://reports.aashe.org/institutions/loyola-marymount-university-ca/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/loyola-marymount-university-ca/report/2021-03-05/OP/food-dining/OP-8/"
"Loyola University Chicago"	"Gold"	"March 6, 2023"	"https://reports.aashe.org/institutions/loyola-university-chicago-il/report/"	"https://reports.aashe.org/institutions/loyola-university-chicago-il/report/2020-03-06/"	"https://reports.aashe.org/institutions/loyola-university-chicago-il/report/2020-03-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/loyola-university-chicago-il/report/2020-03-06/OP/food-dining/OP-8/"
"Luther College"	"Gold"	"Feb. 28, 2022"	"https://reports.aashe.org/institutions/luther-college-ia/report/"	"https://reports.aashe.org/institutions/luther-college-ia/report/2019-03-01/"	"https://reports.aashe.org/institutions/luther-college-ia/report/2019-03-01/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/luther-college-ia/report/2019-03-01/OP/food-dining/OP-8/"
"Macalester College"	"Gold"	"April 18, 2024"	"https://reports.aashe.org/institutions/macalester-college-mn/report/"	"https://reports.aashe.org/institutions/macalester-college-mn/report/2021-01-19/"	"https://reports.aashe.org/institutions/macalester-college-mn/report/2021-01-19/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/macalester-college-mn/report/2021-01-19/OP/food-dining/OP-8/"
"Massachusetts Institute of Technology"	"Gold"	"Oct. 22, 2021"	"https://reports.aashe.org/institutions/massachusetts-institute-of-technology-ma/report/"	"https://reports.aashe.org/institutions/massachusetts-institute-of-technology-ma/report/"	"https://reports.aashe.org/institutions/massachusetts-institute-of-technology-ma/report/2018-10-23/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/massachusetts-institute-of-technology-ma/report/2018-10-23/OP/food-dining/OP-7/"
"McGill University"	"Gold"	"Feb. 2, 2024"	"https://reports.aashe.org/institutions/mcgill-university-qc/report/"	"https://reports.aashe.org/institutions/mcgill-university-qc/report/2020-12-11/"	"https://reports.aashe.org/institutions/mcgill-university-qc/report/2020-12-11/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/mcgill-university-qc/report/2020-12-11/OP/food-dining/OP-8/"
"Miami University"	"Gold"	"Feb. 28, 2022"	"https://reports.aashe.org/institutions/miami-university-oh/report/"	"https://reports.aashe.org/institutions/miami-university-oh/report/2019-03-01/"	"https://reports.aashe.org/institutions/miami-university-oh/report/2019-03-01/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/miami-university-oh/report/2019-03-01/OP/food-dining/OP-8/"
"Michigan State University"	"Gold"	"Feb. 27, 2022"	"https://reports.aashe.org/institutions/michigan-state-university-mi/report/"	"https://reports.aashe.org/institutions/michigan-state-university-mi/report/2019-02-28/"	"https://reports.aashe.org/institutions/michigan-state-university-mi/report/2019-02-28/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/michigan-state-university-mi/report/2019-02-28/OP/food-dining/OP-8/"
"Mohawk College"	"Gold"	"Jan. 21, 2022"	"https://reports.aashe.org/institutions/mohawk-college-on/report/"	"https://reports.aashe.org/institutions/mohawk-college-on/report/2019-01-22/"	"https://reports.aashe.org/institutions/mohawk-college-on/report/2019-01-22/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/mohawk-college-on/report/2019-01-22/OP/food-dining/OP-8/"
"Muhlenberg College"	"Gold"	"Dec. 2, 2021"	"https://reports.aashe.org/institutions/muhlenberg-college-pa/report/"	"https://reports.aashe.org/institutions/muhlenberg-college-pa/report/2018-06-06/"	"https://reports.aashe.org/institutions/muhlenberg-college-pa/report/2018-06-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/muhlenberg-college-pa/report/2018-06-06/OP/food-dining/OP-8/"
"National University of Ireland, Galway"	"Gold"	"Oct. 28, 2024"	"https://reports.aashe.org/institutions/nui-galway/report/"	"https://reports.aashe.org/institutions/nui-galway/report/"	"https://reports.aashe.org/institutions/nui-galway/report/2021-07-30/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/nui-galway/report/2021-07-30/OP/food-dining/OP-7/"
"New York University"	"Gold"	"Feb. 6, 2023"	"https://reports.aashe.org/institutions/new-york-university-ny/report/"	"https://reports.aashe.org/institutions/new-york-university-ny/report/2020-02-07/"	"https://reports.aashe.org/institutions/new-york-university-ny/report/2020-02-07/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/new-york-university-ny/report/2020-02-07/OP/food-dining/OP-8/"
"Northern Arizona University"	"Gold"	"Jan. 5, 2024"	"https://reports.aashe.org/institutions/northern-arizona-university-az/report/"	"https://reports.aashe.org/institutions/northern-arizona-university-az/report/2020-09-28/"	"https://reports.aashe.org/institutions/northern-arizona-university-az/report/2020-09-28/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/northern-arizona-university-az/report/2020-09-28/OP/food-dining/OP-8/"
"Northland College"	"Gold"	"May 9, 2024"	"https://reports.aashe.org/institutions/northland-college-wi/report/"	"https://reports.aashe.org/institutions/northland-college-wi/report/2021-02-26/"	"https://reports.aashe.org/institutions/northland-college-wi/report/2021-02-26/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/northland-college-wi/report/2021-02-26/OP/food-dining/OP-8/"
"Northwestern University"	"Gold"	"March 6, 2023"	"https://reports.aashe.org/institutions/northwestern-university-il/report/"	"https://reports.aashe.org/institutions/northwestern-university-il/report/2020-03-06/"	"https://reports.aashe.org/institutions/northwestern-university-il/report/2020-03-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/northwestern-university-il/report/2020-03-06/OP/food-dining/OP-8/"
